timestamp,flow1,occupancy1,flow2,occupancy2,flow3,occupancy3,totalflow,weekday,hour,minute,second
2016-01-01 01:08:34,0,0,0,0,2,0.0111,2,4,1,8,30
2016-01-01 01:09:02,3,0.0167,3,0.0156,2,0.01,8,4,1,9,0
2016-01-01 01:09:32,0,0,2,0.0122,1,0.0056,3,4,1,9,30
2016-01-01 01:10:03,1,0.0044,3,0.0167,0,0,4,4,1,10,0
2016-01-01 01:10:33,0,0,3,0.0156,0,0,3,4,1,10,30
2016-01-01 01:11:03,2,0.0111,4,0.0211,4,0.0256,10,4,1,11,0
2016-01-01 01:11:33,3,0.0167,3,0.0144,5,0.0256,11,4,1,11,30
2016-01-01 01:12:03,0,0,1,0.0044,3,0.0156,4,4,1,12,0
2016-01-01 01:12:32,1,0.0044,2,0.01,1,0.0056,4,4,1,12,30
2016-01-01 01:13:02,0,0,2,0.0122,1,0.0044,3,4,1,13,0
2016-01-01 01:13:32,1,0.0056,2,0.01,2,0.0133,5,4,1,13,30
2016-01-01 01:14:03,1,0.0089,3,0.02,1,0.0056,5,4,1,14,0
2016-01-01 01:14:33,2,0.0111,2,0.0111,1,0.0056,5,4,1,14,30
2016-01-01 01:15:03,3,0.0167,3,0.0178,3,0.0167,9,4,1,15,0
2016-01-01 01:15:33,3,0.0167,1,0.0067,2,0.01,6,4,1,15,30
2016-01-01 01:16:02,1,0.0056,5,0.03,0,0,6,4,1,16,0
2016-01-01 01:16:32,3,0.0167,5,0.03,1,0.0056,9,4,1,16,30
2016-01-01 01:17:02,1,0.0044,1,0.0056,2,0.0111,4,4,1,17,0
2016-01-01 01:17:33,4,0.0244,4,0.0244,2,0.0111,10,4,1,17,30
2016-01-01 01:18:03,1,0.0044,1,0.0067,2,0.01,4,4,1,18,0
2016-01-01 01:18:33,2,0.01,3,0.0167,2,0.0111,7,4,1,18,30
2016-01-01 01:19:03,3,0.0167,5,0.0311,2,0.0111,10,4,1,19,0
2016-01-01 01:19:33,1,0.0044,3,0.0167,2,0.0111,6,4,1,19,30
